ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result,settle_ts,flb_train_ticker,subwindow
KXAAAGASD-26JUL27-4.100,KXAAAGASD-26JUL27,Economics,yes,294,294,0,98.0,28812,0,588,0.02040816326530612,1785117600,1785157826,40226,yes,1785157826,False,CONTAMINATED
KXAAAGASW-26JUL27-4.100,KXAAAGASW-26JUL27,Economics,yes,316,316,0,98.0,30968,0,632,0.02040816326530612,1785117600,1785157746,40146,yes,1785157746,False,CONTAMINATED
KXAAAGASD-26JUL29-4.105,KXAAAGASD-26JUL29,Economics,no,515,515,0,97.0,49955,0,1545,0.030927835051546393,1785279600,1785327936,48336,no,1785327936,False,CONTAMINATED
KXAAAGASD-26JUL29-4.070,KXAAAGASD-26JUL29,Economics,yes,510,510,0,98.0,49980,0,1020,0.02040816326530612,1785290400,1785327936,37536,yes,1785327936,False,CONTAMINATED
KXFOMCDISSENTCOUNT-26JUL-4,KXFOMCDISSENTCOUNT-26JUL,Economics,no,134,134,0,93.0,12462,0,938,0.07526881720430108,1785337200,1785350686,13486,no,1785350686,False,CONTAMINATED
KXAAAGASD-26JUL30-4.085,KXAAAGASD-26JUL30,Economics,yes,26,26,0,92.0,2392,0,208,0.08695652173913043,1785366000,1785413140,47140,yes,1785413140,False,CONTAMINATED
KXAAAGASD-26JUL30-4.100,KXAAAGASD-26JUL30,Economics,no,506,506,0,94.0,47564,0,3036,0.06382978723404255,1785369600,1785413140,43540,no,1785413140,False,CONTAMINATED
KXAAAGASD-26JUL31-4.100,KXAAAGASD-26JUL31,Economics,yes,464,464,0,93.0,43152,0,3248,0.07526881720430108,1785452400,1785499540,47140,yes,1785499540,False,CONTAMINATED
KXCBDECISIONJAPAN-26JUL30-HOLD,KXCBDECISIONJAPAN-26JUL30,Economics,yes,510,510,0,98.0,49980,0,1020,0.02040816326530612,1785459600,1785501740,42140,yes,1785501740,False,CONTAMINATED
KXAAAGASD-26JUL31-4.095,KXAAAGASD-26JUL31,Economics,yes,181,181,0,98.0,17738,0,362,0.02040816326530612,1785463200,1785499540,36340,yes,1785499540,False,CONTAMINATED
KXAAAGASM-26JUL31-4.10,KXAAAGASM-26JUL31,Economics,yes,62,62,0,91.0,5642,9,549,0.09730591988656505,1785463200,1785500690,37490,yes,1785500690,False,CONTAMINATED
KXMUSKNW-26JUL31-T700,KXMUSKNW-26JUL31,Economics,no,520,520,0,96.0,49920,0,2080,0.041666666666666664,1785531600,1785541560,9960,no,1785541560,False,CONTAMINATED
KXAAAGASD-26AUG01-4.110,KXAAAGASD-26AUG01,Economics,no,345,345,0,91.0,31395,0,3105,0.0989010989010989,1785549600,1785584730,35130,no,1785584730,False,CONTAMINATED
KXAAAGASD-26AUG02-4.110,KXAAAGASD-26AUG02,Economics,no,140,140,0,98.0,13720,0,280,0.02040816326530612,1785639600,1785669930,30330,no,1785669930,False,CONTAMINATED
KXAAAGASW-26AUG03-4.100,KXAAAGASW-26AUG03,Economics,no,387,387,0,93.0,35991,0,2709,0.07526881720430108,1785711600,1785753980,42380,no,1785753980,False,CONTAMINATED
KXAAAGASD-26AUG03-4.100,KXAAAGASD-26AUG03,Economics,no,190,190,0,94.0,17860,0,1140,0.06382978723404255,1785715200,1785754230,39030,no,1785754230,False,CONTAMINATED
